
------------------------------------------------------------------------
This is catena4630-test1.ino.
System clock rate is 32.000 MHz
Enter 'help' for a list of commands.
(remember to select 'Line Ending: Newline' at the bottom of the monitor window.)
------------------------------------------------------------------------

FLASH found, put power down
?CatenaBase::GetProvisioningStyle: failing
?CatenaStm32L0::LoRaWAN::begin: Arduino_LoRaWAN:begin failed
?Catena463x::LoRaWAN::begin: Super::begin() failed
cPMS7003::fsmDispatch: enter stInitialSetup
hal begin
setReset: Z
setMode: Z
cPMS7003::fsmDispatch: enter stOff
wake
cPMS7003::fsmDispatch: enter stRequestPowerOn
set5v: 1
setReset: 0

OK
cPMS7003::fsmDispatch: enter stReset
setReset: 1
cPMS7003::fsmDispatch: enter stNormal
setMode: 1
CF1 pm 1.0=0     2.5=0     10=0     ATM pm 1.0=0     2.5=0     10=0     Dust .3=0     .5=0     1.0=0     2.5=0     5=0     10=0    
CF1 pm 1.0=2     2.5=3     10=3     ATM pm 1.0=2     2.5=3     10=3     Dust .3=0     .5=0     1.0=0     2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=0     .5=0     1.0=0     2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=8     10=8     ATM pm 1.0=4     2.5=8     10=8     Dust .3=0     .5=0     1.0=0     2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=7     10=7     ATM pm 1.0=4     2.5=7     10=7     Dust .3=0     .5=0     1.0=0     2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=7     10=7     ATM pm 1.0=4     2.5=7     10=7     Dust .3=0     .5=0     1.0=0     2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=0     .5=0     1.0=0     2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=0     .5=0     1.0=0     2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=0     .5=0     1.0=0     2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=0     .5=0     1.0=0     2.5=0     5=0     10=0    
CF1 pm 1.0=4     2.5=7     10=7     ATM pm 1.0=4     2.5=7     10=7     Dust .3=996   .5=280   1.0=40    2.5=3     5=0     10=0    
CF1 pm 1.0=4     2.5=7     10=7     ATM pm 1.0=4     2.5=7     10=7     Dust .3=1008  .5=281   1.0=42    2.5=3     5=0     10=0    
CF1 pm 1.0=4     2.5=7     10=7     ATM pm 1.0=4     2.5=7     10=7     Dust .3=1038  .5=286   1.0=36    2.5=2     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=954   .5=262   1.0=29    2.5=1     5=0     10=0    
CF1 pm 1.0=4     2.5=6     10=6     ATM pm 1.0=4     2.5=6     10=6     Dust .3=966   .5=264   1.0=28    2.5=1     5=0     10=0    
